year,county,s_county_N_below_supply,s_county_N_above_cost,s_county_N_below_quality
2017,Mille Lacs,.57798165,0,.43119267
2012,Mille Lacs,.55045873,.036697246,
2015,Mille Lacs,.5321101,.0091743115,.19266056
2016,Mille Lacs,.55963302,.079510704,.34556574
2013,Mille Lacs,.5321101,.0061162082,.22629969
2013,Dakota,.48537895,.93415558,.78476226
2012,Dakota,.40700218,.9327631,
2015,Dakota,.53152972,.92599958,.70777798
2017,Dakota,.40899146,.79769248,.59259999
2016,Dakota,.44698629,.84245074,.56494927
2018,Dakota,.51442212,.90928984,.60950863
2014,Dakota,.51143825,.91625226,.78734833
2016,Dodge,.48430493,0,.29147983
2014,Dodge,.47982064,0,0
2018,Dodge,.48878923,0,.080717489
2015,Dodge,.47982064,.0044843052,0
2012,Dodge,.47085202,0,
2017,Dodge,.50224215,0,.16591929
2013,Dodge,.47085202,0,0
2012,Olmsted,.21775898,.43446088,
2016,Olmsted,.27748415,.52219874,.53805494
2013,Olmsted,.23678647,.43234673,.53646934
2014,Olmsted,.22251585,.49894291,.68763214
2017,Olmsted,.26215646,.62050742,.6384778
2015,Olmsted,.21934462,.60676533,.70930231
2018,Olmsted,.23467231,.56342494,.58826637
2014,Douglas,.22273782,0,.032482598
2017,Douglas,.33410674,.0092807421,.28770301
2016,Douglas,.24593967,.0092807421,.10208817
2015,Douglas,.27146173,0,.032482598
2012,Douglas,.27146173,0,
2013,Douglas,.23201856,0,.0069605568
2018,Douglas,.37122971,.0069605568,.25986078
2014,Pope,.52100843,0,.075630255
2015,Grant,.68000001,0,.079999998
2013,Pope,.47058824,0,.05882353
2016,Grant,.49333334,0,.54666668
2012,Pope,.6134454,0,
2016,Pope,.68907565,0,.93277311
2018,Grant,.50666666,0,.82666665
2018,Pope,.68907565,.0084033618,.93277311
2017,Pope,.68907565,.016806724,.93277311
2012,Grant,.78666669,.026666667,
2013,Grant,.57333332,0,.06666667
2015,Pope,.52941179,0,.092436977
2017,Grant,.50666666,0,.97333336
2014,Grant,.60000002,0,.06666667
2018,Fillmore,.43891403,0,.70135748
2017,Fillmore,.43891403,.049773756,.69230771
2016,Fillmore,.43438914,.18552037,.68325794
2013,Fillmore,.39819005,0,.04524887
2014,Fillmore,.4162896,0,.081447966
2015,Fillmore,.4162896,0,.081447966
2012,Fillmore,.40271494,.0090497741,
2012,Houston,.27184466,0,
2015,Houston,.39805827,0,.019417476
2017,Winona,.43707094,.0091533177,.23569794
2016,Winona,.38443935,.0022883294,.40961099
2013,Winona,.34782609,0,.21281464
2014,Mower,.74788135,0,0
2016,Mower,.904661,.019067796,.44067797
2017,Houston,.35436893,0,.44174758
2017,Mower,.90254235,0,.44915253
2014,Houston,.27184466,0,.019417476
2015,Mower,.89406782,0,.0042372881
2013,Houston,.27669904,0,.024271844
2018,Houston,.37378642,0,.32524273
2018,Winona,.39130434,.0068649887,.073226541
2012,Mower,.74576271,0,
2014,Winona,.35011441,.0022883294,.10983982
2016,Houston,.31553397,0,.83495146
2018,Mower,.91101694,0,.49152541
2015,Winona,.35926774,.0022883294,.20366132
2013,Mower,.75847459,0,0
2012,Winona,.36155605,0,
2012,Freeborn,.47457626,0,
2016,Freeborn,.55367231,.0028248588,.033898305
2014,Freeborn,.48870057,0,.17231639
2018,Freeborn,.54802263,0,.39830509
2017,Freeborn,.63841808,0,.73446327
2013,Freeborn,.49435028,0,0
2015,Freeborn,.50282484,.0028248588,.0056497175
2017,Goodhue,.52928871,.066945605,.51882845
2012,Goodhue,.41004184,.012552301,
2018,Goodhue,.48326361,.025104603,.50209206
2014,Goodhue,.46652719,.010460251,0
2016,Goodhue,.49790794,.012552301,.56276149
2015,Goodhue,.47698745,.012552301,.13598326
2013,Goodhue,.4539749,0,0
2015,Hennepin,.61177158,.9831205,.82526052
2014,Hennepin,.64046675,.98304713,.80896813
2017,Hennepin,.50851315,.97600174,.86731249
2016,Hennepin,.533759,.97299284,.82482022
2013,Hennepin,.70879203,.98686337,.80228972
2018,Hennepin,.49618375,.97284603,.81623369
2012,Hennepin,.73139584,.98774403,
2018,Itasca,.59071732,.0021097045,.18776371
2015,Itasca,.54008436,.0021097045,.47890297
2014,Itasca,.60337555,.010548524,.45147678
2013,Itasca,.62869197,.0063291141,.12658228
2017,Itasca,.60548526,.014767933,.65189874
2016,Itasca,.58860761,.010548524,.51265824
2012,Itasca,.61181432,.016877636,
2017,Kanabec,.55371898,0,.28099173
2013,Kanabec,.61157024,0,.041322313
2014,Kanabec,.56198347,0,.041322313
2018,Kanabec,.58677685,0,.34710744
2015,Kanabec,.56198347,0,.0661157
2012,Kanabec,.56198347,0,
2016,Kanabec,.53719008,0,.18181819
2017,Kandiyohi,.51711714,0,.48108107
2014,Kandiyohi,.49729729,.0018018018,.39819819
2012,Kandiyohi,.52072072,0,
2016,Kandiyohi,.5045045,0,.4054054
2015,Kandiyohi,.49369368,.0018018018,.39459458
2013,Kandiyohi,.53693694,.0018018018,.072072074
2018,Kandiyohi,.48468468,0,.26306307
2013,Meeker,.54958677,0,.037190083
2015,Meeker,.48347107,0,.012396694
2018,Meeker,.48760331,0,.61983472
2017,Stearns,.45319635,.020547945,.38070777
2016,Meeker,.50413221,0,.60743803
2017,Meeker,.48760331,0,.5289256
2012,Meeker,.54545456,0,
2018,Stearns,.46746576,.024543379,.46689498
2015,Stearns,.4280822,.010273973,.31906393
2012,Stearns,.38641551,0,
2013,Stearns,.39269406,0,.040525112
2016,Stearns,.43264839,.017123288,.50057077
2014,Meeker,.54958677,0,.037190083
2014,Stearns,.42180365,.025684932,.12214612
2012,Kittson,.43396226,0,
2013,Kittson,.43396226,0,.2264151
2016,Kittson,.49056605,0,.33962265
2015,Kittson,.47169811,0,.2264151
2017,Kittson,.49056605,.018867925,1
2014,Kittson,.43396226,0,.20754717
2016,Marshall,.66666669,.03809524,.53333336
2018,Kittson,.49056605,0,1
2013,Marshall,.65714288,0,.14285715
2015,Marshall,.65714288,0,.19047619
2014,Marshall,.6761905,0,.17142858
2012,Marshall,.66666669,0,
2018,Marshall,.6857143,.01904762,.96190476
2017,Marshall,.65714288,.047619049,.88571429
2016,Koochiching,.72131145,0,.98360658
2012,Koochiching,.98360658,.032786883,
2015,Koochiching,.59016395,0,.049180329
2018,Koochiching,.93442625,0,.99180329
2017,Koochiching,.93442625,.0081967209,.12295082
2014,Koochiching,.64754099,.0081967209,.049180329
2013,Koochiching,.54918033,.0081967209,.049180329
2013,Yellow Medicine,.48780489,0,.28455284
2018,Yellow Medicine,.48780489,0,.24390244
2015,Yellow Medicine,.47967479,0,.39024389
2017,Yellow Medicine,.54471546,0,.13821138
2012,Yellow Medicine,.52845526,0,
2014,Yellow Medicine,.48780489,0,.30081302
2016,Yellow Medicine,.48780489,0,.39024389
2015,Lake,.99264705,.014705882,.05882353
2016,Lake,1,0,.088235296
2017,Lake,1,.022058824,.25735295
2013,Lake,.94117647,.029411765,.05882353
2014,Lake,.9852941,.014705882,.05882353
2012,Lake,.99264705,.044117648,
2018,Lake,.99264705,0,.91911763
2014,Lake of the Woods,.56666666,0,.23333333
2018,Lake of the Woods,.56666666,0,.33333334
2013,Lake of the Woods,.56666666,0,.30000001
2016,Lake of the Woods,.53333336,0,.40000001
2012,Lake of the Woods,.60000002,.033333335,
2015,Lake of the Woods,.53333336,0,.16666667
2017,Lake of the Woods,.60000002,0,.40000001
2018,Roseau,.55813956,.0046511628,.2511628
2014,Roseau,.45581394,.0046511628,.065116279
2017,Roseau,.52093023,.0093023255,.5767442
2015,Roseau,.51162791,.0046511628,.060465116
2013,Roseau,.46976745,.0046511628,.027906977
2016,Roseau,.47906977,.0046511628,.069767445
2012,Roseau,.41395348,.0046511628,
2014,Lincoln,.41935483,0,.016129032
2017,Lincoln,.29032257,0,.41935483
2018,Lincoln,.45161289,0,.53225809
2012,Lincoln,.58064514,0,
2017,Pipestone,.24242425,0,.18787879
2015,Lincoln,.32258064,0,.032258064
2013,Lincoln,.56451613,0,.016129032
2016,Lincoln,.43548387,0,.95161289
2015,Pipestone,.23636363,0,0
2013,Pipestone,.26666668,0,.012121212
2014,Pipestone,.24848485,0,0
2018,Pipestone,.23636363,0,.19393939
2016,Pipestone,.23636363,0,.078787878
2012,Pipestone,.30303031,0,
2013,Lyon,.20071685,0,0
2015,Lyon,.19354838,0,.0035842294
2014,Lyon,.16845877,0,0
2018,Lyon,.17921147,.0071684588,.14336918
2016,Lyon,.16487455,.0071684588,.10035843
2012,Lyon,.19354838,0,
2017,Lyon,.17921147,0,.13978495
2014,McLeod,.19268292,0,.2
2018,McLeod,.2609756,.0024390244,.12682927
2017,McLeod,.21219513,0,.10731708
2016,McLeod,.2,0,.12682927
2013,McLeod,.18780488,0,0
2012,McLeod,.1902439,0,
2015,McLeod,.18780488,0,.17073171
2017,Sibley,.69189191,0,.13513513
2018,Sibley,.62702703,0,.15675676
2015,Sibley,.55675673,.0054054055,.0054054055
2014,Sibley,.47567567,0,.0054054055
2016,Sibley,.7027027,0,.081081077
2012,Sibley,.51351351,0,
2013,Sibley,.60000002,0,0
2017,Martin,.21621622,0,.16216215
2013,Martin,.22972973,0,.036036037
2016,Martin,.21621622,0,.31981981
2012,Martin,.22522523,0,
2014,Martin,.22072072,0,.040540539
2015,Martin,.21621622,0,.036036037
2018,Martin,.23873875,0,.27477476
2016,Wright,.67798305,.11283075,.30254617
2012,Wright,.6080879,.18971543,
2015,Wright,.7009486,.087868199,.18671992
2017,Wright,.6964553,.11932102,.23864204
2018,Wright,.70344484,.21617573,.18522216
2013,Wright,.60908639,.18871692,.073389918
2014,Wright,.63205194,.12780829,.19370943
2017,Murray,.57352942,0,.85294116
2016,Murray,.57352942,0,.23529412
2013,Murray,.5147059,0,.073529415
2018,Murray,.57352942,0,.97058821
2014,Murray,.5147059,0,.073529415
2015,Murray,.52941179,0,.17647059
2012,Murray,.58823532,0,
2015,Nicollet,.28498727,0,.058524173
2014,Nicollet,.38422391,0,.13740458
2016,Nicollet,.32061067,.0025445293,.053435113
2013,Nicollet,.25445291,0,.025445292
2012,Nicollet,.24173027,0,
2018,Nicollet,.37659034,0,.083969466
2017,Nicollet,.29516539,0,.083969466
2017,Nobles,.875817,0,.17973857
2018,Nobles,.872549,0,.19281046
2013,Nobles,.90522873,0,.022875817
2016,Nobles,.8888889,0,.24183007
2015,Nobles,.89542484,0,.081699349
2012,Nobles,.89869279,0,
2014,Nobles,.90522873,0,.029411765
2016,Norman,.45833334,0,.94444442
2012,Norman,.41666666,0,
2017,Norman,.43055555,0,.94444442
2014,Norman,.43055555,0,.22222222
2013,Norman,.41666666,0,.22222222
2018,Norman,.43055555,0,.22222222
2015,Norman,.45833334,0,.11111111
2012,Wadena,.63999999,0,
2013,Wadena,.54666668,0,.12666667
2015,Wadena,.45333335,0,.12
2018,Wadena,.50666666,0,.2
2014,Wadena,.5,0,.1
2017,Wadena,.50666666,0,.14
2016,Wadena,.45333335,0,.16
2017,Pennington,.28409091,.0056818184,.125
2013,Pennington,.22727273,0,.051136363
2012,Pennington,.24431819,0,
2015,Pennington,.25568181,0,.0625
2018,Pennington,.26136363,0,.125
2016,Pennington,.26136363,0,.073863633
2014,Pennington,.26704547,0,.0625
2018,Polk,.29238328,.0098280096,.29975429
2017,Polk,.28255528,.0024570024,.64864862
2016,Polk,.28992629,.017199017,.69041771
2013,Polk,.31941032,.0024570024,.1031941
2014,Polk,.32186732,0,.28992629
2012,Polk,.32186732,.0073710075,
2015,Polk,.30466831,0,.25552824
2012,Ramsey,.77464128,.87461013,
2016,Ramsey,.78446662,.82236433,.98222083
2013,Ramsey,.76980662,.91921395,.93402994
2018,Ramsey,.85449159,.99079847,.97645038
2014,Ramsey,.81285089,.91375548,.952277
2015,Ramsey,.77573299,.91250777,.96257019
2017,Ramsey,.74719274,.83998752,.96007484
2015,Red Lake,.33333334,0,.023809524
2014,Red Lake,.33333334,0,.047619049
2018,Red Lake,.35714287,0,1
2017,Red Lake,.2857143,0,.45238096
2016,Red Lake,.2857143,0,.33333334
2012,Red Lake,.33333334,0,
2013,Red Lake,.2857143,0,.023809524
2014,Renville,.54545456,.0064935065,.064935066
2016,Renville,.73376626,0,.26623377
2013,Renville,.53896105,.0064935065,.058441557
2015,Renville,.60389608,0,.051948052
2018,Renville,.61038959,0,.77272725
2012,Renville,.53896105,0,
2017,Renville,.61038959,.0064935065,.62987012
2018,Rice,.74598932,.026737968,.29545453
2016,Rice,.78475934,.11229946,.037433155
2014,Rice,.76604277,.02406417,.0026737968
2013,Rice,.73663104,.004010695,.0066844919
2015,Rice,.74064171,.04812834,.022727273
2012,Rice,.69919789,.056149732,
2017,Rice,.77807486,.050802138,.25668448
2017,Steele,.30000001,.0044444446,.13555555
2013,Steele,.16444445,0,.2
2012,Steele,.14888889,0,
2014,Steele,.22444445,.0044444446,.18000001
2018,Steele,.23111111,.0044444446,.12222222
2016,Steele,.24666667,.0044444446,.10444444
2015,Steele,.19111112,.0044444446,.10888889
2012,Rock,.26724139,0,
2018,Rock,.40517241,0,.14655173
2015,Rock,.39655173,0,0
2016,Rock,.31034482,0,.25
2014,Rock,.30172414,0,.017241379
2013,Rock,.25,0,.017241379
2017,Rock,.39655173,0,.94827586
2012,St. Louis,.54669261,.0077821012,
2014,St. Louis,.49708173,.0063229571,.13910505
2015,St. Louis,.55982488,.0038910506,.13132295
2016,St. Louis,.64007783,.061770428,.24562258
