year,t_bg_N_c_u5,t_bg_N_fam_c_u5,county,adj_supply_any,adj_supply_ccc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,N_county,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_hr,rank_adj_supply_public,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium
2013,746,589,Chippewa,.65041602,.084474474,.014090008,.085184999,87.612968,90.83448,105.41986,13.615007,1.0109102,87,37,49,35,27,4,1,1,11,3
2014,746,589,Chippewa,.7271589,.084474474,.049023673,.12834348,88.254951,113.20399,119.85265,13.122483,1.0964768,87,33,54,30,25,11,3,7,42,8
2015,746,589,Chippewa,.65006435,.10715707,.05762431,.05394569,103.23401,115.77747,108.01589,15.875443,.96449137,87,40,39,27,64,39,3,2,63,4
2016,746,589,Chippewa,.63787484,.084474474,.046636324,.099626169,95.288254,100.20993,127.95827,16.51895,1.1177113,87,36,49,49,43,16,3,4,38,16
2017,746,589,Chippewa,.60527003,.10715997,.027169449,.11035623,94.577721,192.75439,126.02464,33.988823,1.1228774,87,36,46,66,38,24,10,12,54,22
2012,3387,2386,Chisago,.4313547,.13059123,,4.4653584e-06,146.63786,222.71114,,75.049446,,87,75,25,,83,78,35,,57,
2013,3387,2386,Chisago,.45984524,.13735007,.050103821,4.4653584e-06,149.0827,205.00398,216.55124,42.717438,1.5420842,87,74,28,14,82,78,70,50,75,40
2014,3387,2386,Chisago,.50680029,.14128321,.050913256,.040611856,141.63832,205.37033,211.97052,11.874584,1.4449806,87,73,34,27,73,76,65,54,33,46
2015,3387,2386,Chisago,.45435637,.12816641,.048649181,.040640589,143.06735,216.91078,228.53639,11.877884,1.5462575,87,79,32,33,74,76,69,73,35,67
2016,3387,2386,Chisago,.40682802,.12712599,.040248405,.040703394,147.63229,224.49347,225.18018,13.942252,1.4262525,87,83,34,53,74,76,55,63,32,53
2017,3387,2386,Chisago,.46979252,.13717051,.054045551,.10520382,130.82782,236.06297,169.63815,14.608056,1.1199007,87,65,35,55,42,70,37,40,28,21
2012,4059,3343,Clay,.61677438,.16109948,,.033571586,124.32535,216.31322,,47.958736,,87,37,19,,57,68,32,,37,
2013,4059,3343,Clay,.65328503,.16109948,.016283436,.057525262,124.23691,174.7791,137.22563,14.603787,1.0333545,87,36,20,32,39,63,53,11,18,5
2014,4059,3343,Clay,.63097459,.17133528,.03128963,.042954784,127.3046,177.14571,152.31737,13.172125,1.1357354,87,46,22,41,70,71,49,22,43,12
2015,4059,3343,Clay,.59448671,.1712126,.029555585,.0369922,133.58862,188.03027,174.5545,13.388988,1.2594668,87,46,21,45,77,74,55,49,46,31
2016,4059,3343,Clay,.5566287,.15870541,.0583754,.039286569,138.87421,198.50983,173.0434,13.161944,1.1951511,87,47,24,41,75,71,37,41,27,27
2017,4059,3343,Clay,.57605726,.18252681,.095417038,.048844848,135.72377,251.37762,173.14908,24.537846,1.1919451,87,44,22,30,77,72,42,44,43,35
2012,558,365,Clearwater,.36526975,0,,.11533539,86.549927,558.05267,,57.250031,,87,81,83.5,,15,5,81,,43,
2013,558,365,Clearwater,.3773348,0,.010550781,.11533539,86.747688,193.92703,185.2674,19.71352,1.6406089,87,83,83.5,36,17,3,61,32,48,47
2014,558,365,Clearwater,.5278874,0,.055134721,.15395166,93.20565,199.22034,166.47655,18.006128,1.4316857,87,68,83.5,23,12,16,61,35,69,41
2015,558,365,Clearwater,.56475788,0,.049869973,.15780053,92.20295,199.23514,149.91397,17.890369,1.2878525,87,49,82.5,31,15,16,63,31,69,35
2016,558,365,Clearwater,.46350077,0,.091395915,.09770377,108.32331,201.36807,130.28513,65.461357,.95119208,87,71,82,27,45,34,42,6,82,2
2017,558,365,Clearwater,.4567683,0,.045079544,.10758699,99.316254,610.11609,338.2674,83.721191,2.8294082,87,72,82,58,40,32,82,80,81,81
2012,244,180,Cook,.62993127,.11505498,,.14165734,107.52191,657.12384,,61.088238,,87,35,31,,12,45,82,,45,
2013,244,180,Cook,.62227398,.11505498,0,0,144.79413,158.34021,415.97528,229.18796,3.0284319,87,43,34,70.5,87,75,34,86,87,82
2014,244,180,Cook,.98188901,.11505498,0,.14314832,123.84949,213.04135,385.30908,32.538261,2.6629653,87,4,41,76.5,16,69,69,87,82,86
2015,244,180,Cook,1.0479441,.11663926,0,.14314832,113.71439,152.82483,377.41461,32.538261,3.0140698,87,2,36,79.5,19,56,23,87,85,87
2016,244,180,Cook,.8748315,.069032989,.2227166,.14314832,110.4827,399.57339,246.49269,101.4134,2.5259748,87,5,57,3,22,39,81,66,86,77
2017,244,180,Cook,.70928741,.069032989,.20666559,.14314832,124.28538,589.48248,305.3284,227.04298,2.4960399,87,16,57,2,25,64,81,78,87,78
2012,1053,893,Cottonwood,.49373886,.03421938,,.048270032,95.321907,237.14827,,54.087692,,87,60,66,,47,18,43,,42,
