adj_supply_hr,adj_supply_any,year,t_bg_N_c_u5,t_bg_N_fam_c_u5,county,adj_supply_ccc,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,N_county,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_hr,rank_adj_supply_public,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium,share_hr
.19309869,.44391039,2018,558,365,Clearwater,0,.0670399,108.90651,253.11897,147.92316,19.413374,.72321266,87,68,82,4,59,39,70,26,74,1,.43499476
,.62993127,2012,244,180,Cook,.11505498,.14165734,107.52191,657.12384,,61.088238,,87,35,31,,12,45,82,,45,,
0,.62227398,2013,244,180,Cook,.11505498,0,144.79413,158.34021,415.97528,229.18796,3.0284319,87,43,34,70.5,87,75,34,86,87,82,0
0,.98188901,2014,244,180,Cook,.11505498,.14314832,123.84949,213.04135,385.30908,32.538261,2.6629653,87,4,41,76.5,16,69,69,87,82,86,0
0,1.0479441,2015,244,180,Cook,.11663926,.14314832,113.71439,152.82483,377.41461,32.538261,3.0140698,87,2,36,79.5,19,56,23,87,85,87,0
.2227166,.8748315,2016,244,180,Cook,.069032989,.14314832,110.4827,399.57339,246.49269,101.4134,2.5259748,87,5,57,3,22,39,81,66,86,77,.25458229
.20666559,.70928741,2017,244,180,Cook,.069032989,.14314832,124.28538,589.48248,305.3284,227.04298,2.4960399,87,16,57,2,25,64,81,78,87,78,.29137072
.22044329,1.1417999,2018,244,180,Cook,.60581881,.14314832,162.52768,223.31871,176.10725,32.538261,.99082083,87,2,1,1,21,77,60,53,84,13,.19306648
,.49373886,2012,1053,893,Cottonwood,.03421938,.048270032,95.321907,237.14827,,54.087692,,87,60,66,,47,18,43,,42,,
0,.50692821,2013,1053,893,Cottonwood,.03421938,.048270032,100.27444,123.27447,259.86664,14.103905,2.378695,87,64,67,70.5,45,20,8,66,15,78,0
0,.54348737,2014,1053,893,Cottonwood,.03421938,.092007428,95.810356,117.51856,148.7191,11.347468,1.3585767,87,62,69,76.5,44,24,4,21,28,30,0
0,.56463033,2015,1053,893,Cottonwood,.045248568,.092007428,92.784966,114.13471,133.29901,11.588778,1.2478197,87,50,65,79.5,42,19,2,13,33,28,0
.043135695,.51606774,2016,1053,893,Cottonwood,.03421938,.080241762,81.714432,247.96457,214.99702,17.336636,4.5427446,87,58,68,50,50,6,62,58,41,82,.083585337
.089198537,.49861041,2017,1053,893,Cottonwood,.045248568,.1193721,83.030014,181.29147,126.39581,43.047745,1.1551753,87,59,65,32,35,8,5,13,63,31,.17889425
.087676041,.49587077,2018,1053,893,Cottonwood,.042774223,.088231146,93.391083,108.97717,107.71799,14.77208,.93480134,87,55,63,23,43,11,1,2,57,6,.17681228
,.50758684,2012,4073,2943,Crow Wing,.12413579,.047012147,121.08829,200.56537,,45.739227,,87,57,26,,49,63,25,,34,,
9.6027210e-15,.56547266,2013,4073,2943,Crow Wing,.14845891,.043191481,125.76528,152.42046,181.12347,19.255661,1.3697355,87,54,24,51,48,64,23,30,45,28,1.6981760e-14
