year,county,TotCapacity,Price,Capacity,ShareCCC,ShareHighRated,SharePublic
2013,Norman,290.20001,88.40000000000001,13.2,.045,.136,.091
2013,Redwood,660.76666,99.09999999999999,10.2,.015,.015,.015
2013,Lake of the Woods,111.74286,86.90000000000001,10.2,0,.091,.091
2013,Pine,617.83807,119,10.1,.016,.066,.016
2013,Hubbard,590.09644,105.2,11.3,.038,.077,.019
2013,Traverse,170.60001,90,10.7,0,.125,.125
2013,Kandiyohi,1340.564,105.2,10.9,.024,.041,.024
2013,Wadena,423.02634,95.09999999999999,10.6,.025,.15,.1
2013,Kittson,185.86667,83,9.300000000000001,0,.15,.15
2013,Jackson,464.95044,97.7,11.6,.05,.025,.025
2013,Red Lake,445.32721,76.5,18.6,.042,.125,.125
2013,Wilkin,256.30475,96.8,9.199999999999999,0,.036,.036
2013,Pipestone,411.94809,100.2,10.6,.026,.026,.026
2013,Lac qui Parle,218.2,87.09999999999999,10.4,0,.095,.095
2013,Grant,212.31429,90.8,10.6,0,.15,.15
2013,Big Stone,196.93333,89.40000000000001,9.800000000000001,0,.1,.1
2013,Cook,95.987602,125.1,10.7,.111,0,0
2013,Carver,3640.4631,166.6,17.1,.099,.038,.005
2013,Ramsey,16023.345,167.9,20.6,.179,.084,.013
2013,Wright,5207.5088,136.3,11.9,.032,.021,.018
2013,Sherburne,3635.3638,131,12.9,.046,.011,.007
2013,Hennepin,35046.348,186.1,24.5,.227,.079,.008
2013,Dakota,15221.21,168.3,17.1,.108,.045,.004
2013,Anoka,11585.039,150.6,15.4,.097,.036,.004
2013,Isanti,870.23163,129.8,17.1,.137,.02,0
2013,Chisago,1521.0654,133.8,13.1,.06,.017,0
2013,Washington,8236.6924,160.8,16.4,.086,.048,.008
2013,Scott,6283.2495,162.6,13.2,.05,.015,.006
2014,Steele,1993.865,106,13.2,.033,.053,.04
2014,Martin,850.47803,90,11.7,.014,.082,.082
2014,Red Lake,465.42722,69.40000000000001,20.2,.043,.261,.217
2014,Todd,617.40479,79.7,11.4,0,.148,.148
2014,Pipestone,457.34808,92.2,11.2,.024,.098,.098
2014,Swift,507.08414,89.59999999999999,11.8,.023,.116,.093
2014,Mower,1337.0083,104.3,13,.039,.068,.068
2014,Beltrami,2005.7124,106.8,14,.063,.091,.07
2014,Stearns,6788.1094,110.5,12.9,.057,.057,.036
2014,Saint Louis,6180.9429,110.8,17.1,.105,.124,.099
2014,Wabasha,799.82117,114.4,11.1,.028,.056,.056
2014,Waseca,668.55042,99.09999999999999,11.5,.034,.052,.052
2014,Clay,2624.5784,116.7,13.1,.055,.03,.02
2014,Kandiyohi,1445.964,102.1,11.2,.031,.109,.054
2014,Crow Wing,2228.5967,114.7,14.3,.096,.071,.051
2014,Morrison,1408.7759,96.90000000000001,11.1,.031,.118,.071
2014,Jackson,521.75043,90.09999999999999,12.7,.049,.098,.098
2014,Rice,1867.6061,123.1,12,.038,.051,.032
2014,Lyon,1760.6942,101.4,12.8,.043,.051,.051
2014,Lincoln,302.60001,89.8,10.8,0,.107,.107
2014,Rock,435.20001,99,9.9,0,0,0
2014,Becker,1401.0972,105.7,11.4,.024,.244,.089
2014,Goodhue,1532.6887,117.5,12.2,.048,.063,.063
2014,Olmsted,8335.7266,138.8,16.6,.062,.094,.036
2014,Nicollet,1352.928,118.8,16.3,.108,.06,.012
2014,Faribault,453.20639,89.59999999999999,13.3,.088,.147,.118
2014,McLeod,1615.6339,107.4,13,.04,.065,.056
2014,Blue Earth,3254.0671,117.6,17.3,.096,.064,.032
2014,Le Sueur,1131.8048,113.9,11.3,.01,.08,.07
2014,Cass,1263.3853,97.09999999999999,17.5,.028,.194,.167
2014,Fillmore,1084.2073,92.09999999999999,19.7,.055,.127,.127
2014,Nobles,629.38385,84.7,12.8,.061,.102,.102
2014,Lake,179.53334,102.7,10,0,.111,.111
2014,Freeborn,993.9032,103.6,12.7,.038,.051,.038
2014,Brown,1417.7552,97.8,12.9,.036,.091,.064
2014,Yellow Medicine,474.64575,95.40000000000001,10.3,.043,.065,.043
2014,Douglas,1953.4243,103,12.4,.025,.057,.044
2014,Chippewa,520.70856,91.2,12.4,.024,.143,.071
2014,Pope,405.49106,100.5,11.3,.028,.056,.056
2014,Mille Lacs,926.573,106.2,16,.069,.121,.086
2014,Wadena,482.25964,90.09999999999999,10.7,.022,.178,.133
2014,Traverse,185.23334,74.59999999999999,11.6,0,.25,.25
2014,Polk,1558.2476,100.2,13.3,.051,.111,.077
2014,Benton,1941.9773,113.9,11.4,.024,.018,.018
2014,Wilkin,256.46667,91.7,9.9,0,.077,.077
2014,Roseau,759.02509,89,10.1,.013,.093,.08
2014,Sibley,623.86664,96.59999999999999,10.6,0,.136,.136
2014,Houston,804.99329,101.9,10.5,.026,.052,.052
2014,Pine,673.0238,106.7,11.2,.017,.2,.1
2014,Winona,1897.4448,108.9,12.8,.054,.054,.041
2014,Otter Tail,1849.7539,98.8,11,.018,.089,.083
2014,Dodge,1006.4,119.1,11.7,.012,.047,.047
2014,Kittson,171.26666,84.40000000000001,9.5,0,.167,.167
2014,Kanabec,788.42932,98.5,23.2,.029,.088,.088
2014,Meeker,705.59229,91.40000000000001,13.8,.039,.157,.137
2014,Itasca,1487.5632,95.2,15.8,.053,.277,.17
2014,Aitkin,501.63779,107.4,14.8,.059,.147,.088
2014,Pennington,740.49695,103.1,10.7,.029,.029,.029
2014,Renville,633.86487,95.8,11.7,.037,.093,.093
2014,Clearwater,302.28571,87.7,11.6,0,.269,.154
2014,Carlton,1274.3737,105.3,16.8,.092,.184,.118
2014,Redwood,649.29999,96.59999999999999,9.800000000000001,0,.045,.045
2014,Cottonwood,462.57629,92.59999999999999,11.3,.024,.098,.098
2014,Marshall,384.23349,87.40000000000001,11.3,.029,.118,.118
2014,Murray,321.10858,90.3,12.4,.038,.038,.038
2014,Koochiching,309.5,95.59999999999999,11.1,0,.107,.107
2014,Stevens,475.65683,95.5,11.3,.024,.048,.048
2014,Hubbard,620.80426,108.3,10.3,.033,.1,.017
2014,Big Stone,193.63333,87.8,10.2,0,.105,.105
2014,Cook,148.68759,118.8,11.4,.077,.077,.077
2014,Norman,292.39389,96,13.9,.095,.095,.048
2014,Mahnomen,375.14285,64.8,17.1,.045,.591,.364
2014,Grant,215.5238,82.3,11.3,0,.211,.211
2014,Lac qui Parle,237.16254,87.5,11.3,.048,.143,.143
2014,Watonwan,412.56326,81.8,14.7,.107,.143,.107
2014,Lake of the Woods,97.14286,87.7,10.8,0,.111,.111
2014,Anoka,12126.009,151.7,16.9,.106,.091,.039
2014,Hennepin,39652.711,181.1,26.4,.256,.143,.049
2014,Scott,6135.6133,159.3,14,.052,.034,.018
2014,Ramsey,15932.909,168.9,22.1,.197,.144,.039
2014,Wright,5179.4785,134,12.7,.037,.059,.051
2014,Sherburne,3769.7964,132.1,13.8,.055,.033,.029
2014,Washington,8911.3047,160.1,17.8,.1,.08,.038
2014,Dakota,15685.556,166.6,18.5,.119,.08,.025
2014,Isanti,891.99982,124.6,17.5,.137,.157,.078
2014,Chisago,1670.3793,130.5,13.7,.057,.074,.057
2014,Carver,3943.1328,158.5,19.7,.115,.08,.045
2015,Freeborn,925.18201,104.9,12.2,.039,.053,.039
2015,Washington,8357.582,162.7,17,.106,.098,.045
2015,Kandiyohi,1436.5142,101,11.1,.038,.138,.062
2015,Olmsted,8173.1021,141.7,17,.073,.104,.035
2015,Winona,1846.5433,109.5,12.7,.055,.069,.041
2015,Ramsey,15551.397,173,22.3,.224,.175,.05
2015,Wadena,489.91681,91.3,11.4,.047,.186,.14
2015,Dakota,14814.699,169.7,18.2,.124,.092,.029
2015,Anoka,11318.095,153.4,16.4,.113,.121,.043
2015,Polk,1582.9641,101.7,13.3,.05,.126,.084
2015,Wabasha,780.52118,115.8,11,.028,.113,.056
2015,Todd,680.57141,80.3,12.6,.019,.204,.167
2015,Nobles,637.86548,85.8,12.8,.04,.14,.12
2015,Hennepin,38668.789,185.6,26.3,.272,.169,.059
2015,Pennington,749.81903,105.1,11.2,.03,.03,.03
2015,Lyon,1665.5609,98.40000000000001,12.8,.046,.077,.069
2015,Mower,1184.5477,102.8,12,.02,.071,.071
2015,Scott,5742.2798,162.3,13.2,.053,.053,.018
2015,Renville,595.01276,98.09999999999999,11.7,.059,.078,.078
2015,Dodge,989.56256,122.5,11.6,.024,.035,.035
2015,Stearns,6599.5083,109.7,13.1,.056,.084,.04
2015,Sibley,608,101,10.5,0,.121,.121
2015,Goodhue,1486.47,120.3,11.8,.048,.087,.063
2015,Wright,4821.3354,133.8,12.5,.036,.067,.052
2015,Fillmore,752.40253,95.5,13.7,.055,.109,.109
2015,Le Sueur,1032.178,115.1,11.1,.011,.108,.075
2015,Rice,1888.9176,125.6,12,.045,.064,.038
2015,Mille Lacs,879.61401,109,15.7,.089,.107,.071
2015,Houston,724.82147,103.4,10.2,.014,.07,.07
2015,Beltrami,1692.3884,104.2,12.7,.045,.09,.083
2015,Sherburne,3610.6316,130.6,14,.058,.039,.031
2015,Martin,864.80121,91.8,11.4,.026,.079,.079
2015,Wilkin,272.57144,90.2,10.5,0,.115,.115
2015,Otter Tail,1699.7109,101.1,10.6,.019,.093,.075
2015,Saint Louis,5784.1099,114.9,16.9,.114,.122,.099
2015,McLeod,1603.0314,110.5,13.5,.05,.084,.059
2015,Clay,2486.0032,119.8,13.3,.059,.037,.021
2015,Morrison,1296.9885,98.5,11,.034,.186,.076
2015,Chippewa,456.80951,96.5,11.7,.026,.128,.026
2015,Red Lake,465.82721,70.5,21.2,.045,.273,.227
2015,Murray,271.80859,92.40000000000001,12.4,.045,.045,.045
2015,Carver,3941.3438,163.2,19.8,.141,.09,.04
2015,Crow Wing,2086.6829,116.6,14.4,.097,.097,.055
2015,Stevens,427.84009,87,11.3,.026,.105,.079
2015,Blue Earth,3096.0784,119.1,17.2,.106,.072,.033
2015,Steele,2022.9919,107.8,13.1,.032,.052,.039
2015,Brown,1379.7838,96.40000000000001,13.4,.039,.107,.078
2015,Chisago,1519.563,131.1,13.4,.062,.08,.062
2015,Benton,1757.2434,113.1,11.2,.025,.025,.019
2015,Cass,841.1217,95.40000000000001,12,.029,.229,.171
2015,Watonwan,391.99185,78.09999999999999,15.1,.115,.192,.115
2015,Douglas,1712.2726,103.7,11.9,.021,.069,.049
2015,Cook,157.11617,115,11.2,.071,.071,.071
2015,Meeker,711.26178,92.09999999999999,14.2,.04,.14,.14
2015,Nicollet,1456.4344,119.2,16.9,.116,.105,.047
2015,Itasca,1512.5867,96.40000000000001,15.8,.052,.292,.167
2015,Cottonwood,482.4762,92.2,10.5,.022,.087,.087
2015,Roseau,712.966,86.90000000000001,9.9,0,.069,.069
2015,Clearwater,317.90475,88.40000000000001,11.4,0,.25,.143
2015,Pope,359.65359,102.2,11.2,.031,.031,.031
2015,Norman,288.49387,89.5,14.4,.05,.15,.15
2015,Carlton,1215.9696,105.1,17.1,.099,.225,.113
2015,Pipestone,459.9046,91.09999999999999,11.2,.024,.098,.098
2015,Rock,459.80286,94,10.5,0,.023,.023
2015,Redwood,639.95935,92,10.7,0,.067,.067
2015,Hubbard,670.04175,105.9,10.8,.032,.21,.048
2015,Kanabec,788.76263,101.5,22.5,.029,.086,.086
2015,Waseca,595.75037,100.9,11.5,.038,.058,.058
2015,Koochiching,348,89.8,11.6,0,.167,.167
2015,Lake,142.33333,108.6,9.5,0,.067,.067
2015,Yellow Medicine,482.62131,90.8,10.7,.044,.111,.067
2015,Lac qui Parle,242.76253,90.90000000000001,10.6,.043,.13,.13
2015,Grant,222.95238,85.09999999999999,11.1,0,.25,.2
2015,Pine,609.42859,108.1,11.3,.019,.222,.111
2015,Lincoln,261.66666,85,10.9,0,.125,.125
2015,Marshall,393.90225,92.09999999999999,10.9,.028,.111,.111
2015,Aitkin,352.33334,100.2,11,0,.156,.125
2015,Swift,418.22574,88.2,11.6,.028,.111,.083
2015,Becker,1370.2275,107.7,11.9,.035,.217,.087
2015,Isanti,887.05695,127.1,17.1,.135,.173,.077
2015,Mahnomen,340.42856,65.8,15.5,0,.636,.364
2015,Kittson,152.33333,91.5,9.5,0,.125,.125
2015,Lake of the Woods,105.14286,89.5,10.5,0,.2,.1
2015,Big Stone,197.15651,85.8,10.4,0,.105,.105
2015,Faribault,480.47443,94.8,12.6,.105,.158,.079
2015,Traverse,135.60001,85.59999999999999,11.3,0,.167,.167
2015,Jackson,456.45044,87.7,12.3,.054,.108,.108
2016,Freeborn,812.4071,116.2,12.9,.048,.111,.063
2016,Washington,8547.0146,163.9,18.1,.115,.17,.074
2016,Kandiyohi,1413.4868,113.8,12.5,.044,.168,.071
2016,Olmsted,6902.3735,142.3,15.8,.082,.121,.041
2016,Winona,1702.5332,115.9,12.9,.061,.091,.061
2016,Ramsey,15302.284,174,23.2,.236,.265,.091
2016,Wadena,466.93774,104,11.4,.049,.195,.146
2016,Dakota,15356.475,175.5,20.6,.149,.129,.044
2016,Anoka,10943.4,156.5,17.3,.123,.158,.058
2016,Polk,1401.9257,112.9,13.5,.067,.173,.096
2016,Wabasha,720.31293,119,11.4,.032,.159,.063
2016,Todd,691.87549,101,12.1,.018,.211,.158
2016,Nobles,699.51941,104.3,14,.04,.2,.16
2016,Hennepin,40722.5,191.9,28.9,.295,.213,.078
2016,Pennington,695.53802,111,11.2,.032,.065,.048
2016,Mower,1075.7823,110.9,13,.024,.12,.096
2016,Scott,5813.4653,168.1,14.5,.067,.08,.032
2016,Dodge,893.40076,125.2,12.1,.027,.041,.041
2016,Stearns,6232.231,120.4,13.6,.063,.098,.046
2016,Goodhue,1383.795,124.8,12.5,.054,.126,.072
2016,Wright,4624.8662,143.1,13.6,.041,.103,.065
2016,Lyon,1566.364,114.9,13.1,.058,.125,.083
2016,Fillmore,760.45074,113.4,15.2,.08,.12,.12
2016,Le Sueur,983.77539,123.4,11.4,.012,.116,.081
2016,Rice,1645.6019,133.9,11.9,.043,.058,.036
2016,Mille Lacs,894.28845,117.6,17.5,.098,.137,.098
2016,Houston,781.60669,112.3,11.2,.029,.129,.086
2016,Beltrami,1583.6637,111.7,13.1,.033,.124,.091
2016,Sherburne,3433.0381,141.2,14.8,.069,.065,.039
2016,Martin,895.12506,109.7,12.4,.028,.083,.083
2016,Otter Tail,1693.2943,111,11.7,.034,.124,.083
2016,Saint Louis,5243.6523,121.4,17,.127,.185,.12
2016,McLeod,1460.0266,119.2,13.3,.055,.109,.082
2016,Clay,2317.3804,123.6,13.1,.062,.107,.045
2016,Morrison,1231.1692,107.7,11.1,.027,.198,.081
2016,Chippewa,455.72537,106.6,12,.026,.132,.079
2016,Red Lake,479.00638,92.90000000000001,20.8,.043,.261,.217
2016,Murray,293.47525,112.4,13.3,.045,.091,.091
2016,Carver,3871.0518,174,22.4,.168,.121,.046
2016,Stevens,399.22104,103.5,12.1,.03,.182,.121
2016,Blue Earth,2880.1975,125,18.6,.123,.103,.065
2016,Steele,1777.2645,118.2,13.3,.037,.06,.045
2016,Brown,1388.2639,111.4,14,.04,.172,.081
2016,Benton,1836.8842,121.4,12.5,.034,.048,.02
2016,Crow Wing,1783.1282,120.1,14.9,.117,.117,.067
2016,Cass,762.80042,96.2,12.7,.017,.383,.217
2016,Watonwan,334.02554,124.5,14.5,.13,.217,.087
2016,Douglas,1651.8201,114.3,12.4,.03,.075,.053
2016,Cook,128.61256,108.3,10.7,.083,.333,.083
2016,Meeker,623.78644,103.2,15.2,.049,.146,.122
2016,Nicollet,1404.7461,127.2,17.1,.134,.085,.049
2016,Cottonwood,444.6044,107.2,10.8,.024,.122,.098
2016,Roseau,694.12506,104.8,10.1,0,.101,.072
2016,Clearwater,264.88132,102.5,11,0,.25,.125
2016,Itasca,1175.9515,110.7,13.2,.079,.348,.157
2016,Norman,265.67535,102.2,14.8,.056,.167,.167
2016,Chisago,1350.2378,139.4,14.1,.073,.094,.073
2016,Koochiching,340.37518,96.09999999999999,11.3,0,.167,.167
2016,Carlton,1099.076,121.8,16.7,.106,.303,.106
2016,Pipestone,447.20648,100.5,11.8,.026,.158,.132
2016,Rock,479,102.5,11.4,0,.048,.048
2016,Redwood,549.88135,104.5,10.8,0,.118,.098
2016,Hubbard,618.04419,119.8,11.7,.038,.302,.038
2016,Faribault,457.10059,122.8,12.4,.135,.189,.081
2016,Waseca,540.26288,114.4,12.3,.045,.091,.091
2016,Sibley,550,116.1,10.6,0,.135,.096
2016,Lake,120,110.5,10,0,.083,.083
2016,Yellow Medicine,514.92316,105.7,11,.043,.191,.085
2016,Grant,244.25014,87.59999999999999,11.6,0,.286,.238
2016,Pine,639.71259,117,12.5,.039,.235,.098
2016,Lac qui Parle,241,107.8,11.5,.048,.143,.143
2016,Aitkin,312,102.4,12,0,.192,.154
2016,Lincoln,244,96.2,11.1,0,.136,.136
2016,Pope,344.80042,110.4,12.8,.037,.074,.074
2016,Marshall,375.0564,98.09999999999999,11.4,.03,.182,.152
2016,Swift,375.91272,94.8,12.1,.032,.161,.161
2016,Kanabec,885.76263,116.7,24.6,.056,.222,.083
2016,Becker,1214.1383,110.5,11.9,.039,.304,.108
2016,Isanti,801.72546,136.2,17.8,.133,.222,.089
2016,Mahnomen,314.12506,82.90000000000001,15,0,.571,.286
2016,Renville,480.5817,105.7,12.6,.079,.132,.132
2016,Kittson,206,91.8,10.8,0,.211,.211
2016,Lake of the Woods,103.14286,88.8,11.5,0,.333,.222
2016,Big Stone,198,95.90000000000001,11,0,.167,.167
2016,Jackson,452.90048,102.6,12.6,.056,.167,.139
2016,Traverse,134,95.8,11.2,0,.167,.167
2016,Wilkin,262,94.40000000000001,11.4,0,.174,.174
2017,Freeborn,777.48187,98.7,12.7,.049,.148,.082
2017,Washington,8797.4277,163.6,19.1,.122,.189,.076
2017,Kandiyohi,1375.1484,105,12.7,.046,.185,.065
2017,Olmsted,7362.6011,147.4,17.6,.084,.139,.048
2017,Winona,1368.8391,110,15.4,.079,.157,.09
2017,Wadena,402.23773,87.90000000000001,11.5,.057,.257,.171
2017,Ramsey,16115.504,172.2,25.5,.25,.278,.103
2017,Dakota,15735.706,174.1,21.9,.16,.152,.051
2017,Anoka,10813.058,154.1,17.9,.129,.183,.064
2017,Polk,1420.1185,103,13.9,.069,.167,.098
2017,Wabasha,740.78784,117.1,11.1,.03,.149,.06
2017,Todd,668.09998,84,12.4,.019,.259,.167
2017,Nobles,704.40668,82.3,13.8,.039,.216,.176
2017,Hennepin,42044.531,194.3,32.1,.322,.244,.086
2017,Mower,1053.9381,101.3,13,.025,.148,.123
2017,Scott,5615.5278,167.8,14.9,.072,.098,.032
2017,Dodge,831.4754,123.2,11.5,.014,.056,.056
2017,Stearns,5985.8979,113.3,13.5,.066,.115,.057
2017,Goodhue,1281.97,125.9,12.8,.07,.14,.08
2017,Wright,4498.8662,138.9,13.5,.051,.102,.066
2017,Pennington,680.2005,106.9,11,.032,.065,.048
