year,county,ShareCCC,ShareFCC,SharePublic,ShareHighRated,ShareLowRated
2013,Wright,.031890661,.94988608,.018223235,.020501139,.97949886
2013,Sherburne,.046263345,.94661921,.0071174377,.010676157,.98932385
2013,Hennepin,.22749476,.76482904,.0076762037,.078855544,.92114443
2013,Dakota,.10762332,.88789237,.0044843052,.044843048,.95515692
2013,Anoka,.096816979,.89920425,.00397878,.035809018,.96419096
2013,Isanti,.13725491,.86274511,0,.019607844,.98039216
2013,Chisago,.060344826,.93965518,0,.017241379,.98275864
2013,Washington,.085828342,.90618765,.0079840319,.047904193,.95209581
2013,Scott,.050314464,.94339621,.006289308,.014675053,.98532492
2014,Steele,.033112582,.92715234,.039735101,.052980132,.94701988
2014,Martin,.01369863,.9041096,.08219178,.08219178,.91780823
2014,Red Lake,.043478262,.73913044,.2173913,.26086956,.73913044
2014,Todd,0,.85185188,.14814815,.14814815,.85185188
2014,Pipestone,.024390243,.87804878,.097560972,.097560972,.902439
2014,Swift,.023255814,.88372093,.093023255,.11627907,.88372093
2014,Mower,.038834952,.89320385,.067961164,.067961164,.93203884
2014,Beltrami,.062937066,.86713284,.069930069,.090909094,.90909094
2014,Stearns,.057142857,.9066667,.036190476,.057142857,.94285715
2014,Saint Louis,.10497238,.79558009,.099447511,.12430939,.87569058
2014,Wabasha,.027777778,.91666669,.055555556,.055555556,.94444442
2014,Waseca,.034482758,.91379309,.05172414,.05172414,.94827586
2014,Clay,.055,.92500001,.02,.029999999,.97000003
2014,Kandiyohi,.031007752,.9147287,.054263566,.10852713,.89147288
2014,Crow Wing,.096153848,.8525641,.051282052,.070512824,.92948717
2014,Morrison,.031496063,.89763778,.070866145,.11811024,.88188976
2014,Jackson,.048780486,.85365856,.097560972,.097560972,.902439
2014,Rice,.03846154,.92948717,.032051284,.051282052,.94871795
2014,Lyon,.043478262,.90579712,.050724637,.050724637,.94927537
2014,Lincoln,0,.89285713,.10714286,.10714286,.89285713
2014,Rock,0,1,0,0,1
2014,Becker,.024390243,.88617885,.089430891,.24390244,.75609756
2014,Goodhue,.047619049,.8888889,.063492067,.063492067,.93650794
2014,Olmsted,.061876249,.90219563,.035928145,.093812376,.90618765
2014,Nicollet,.10843374,.87951809,.012048192,.060240965,.93975902
2014,Faribault,.088235296,.79411763,.11764706,.14705883,.85294116
2014,McLeod,.040322579,.90322578,.056451611,.064516127,.93548387
2014,Blue Earth,.095744684,.87234044,.031914894,.063829787,.93617022
2014,Le Sueur,.0099999998,.92000002,.07,.079999998,.92000002
2014,Cass,.027777778,.80555558,.16666667,.19444445,.80555558
2014,Fillmore,.054545455,.81818181,.12727273,.12727273,.87272727
2014,Nobles,.06122449,.83673471,.10204082,.10204082,.89795917
2014,Lake,0,.8888889,.11111111,.11111111,.8888889
2014,Freeborn,.03846154,.92307693,.03846154,.051282052,.94871795
2014,Brown,.036363635,.89999998,.063636363,.090909094,.90909094
2014,Yellow Medicine,.043478262,.9130435,.043478262,.065217391,.93478262
2014,Douglas,.025316456,.93037975,.044303797,.056962024,.94303799
2014,Chippewa,.023809524,.90476191,.071428575,.14285715,.85714287
2014,Pope,.027777778,.91666669,.055555556,.055555556,.94444442
2014,Mille Lacs,.068965517,.84482759,.086206898,.12068965,.87931037
2014,Wadena,.022222223,.84444445,.13333334,.17777778,.82222223
2014,Traverse,0,.75,.25,.25,.75
2014,Polk,.051282052,.87179488,.07692308,.11111111,.8888889
2014,Benton,.023529412,.9588235,.01764706,.01764706,.98235291
2014,Wilkin,0,.92307693,.07692308,.07692308,.92307693
2014,Roseau,.013333334,.9066667,.079999998,.093333334,.9066667
2014,Sibley,0,.86440676,.13559322,.13559322,.86440676
2014,Houston,.025974026,.92207789,.051948052,.051948052,.94805193
2014,Pine,.016666668,.88333333,.1,.2,.80000001
2014,Winona,.054054055,.9054054,.040540539,.054054055,.94594592
2014,Otter Tail,.017857144,.89880955,.083333336,.089285716,.91071427
2014,Dodge,.011627907,.94186044,.046511628,.046511628,.95348835
2014,Kittson,0,.83333331,.16666667,.16666667,.83333331
2014,Kanabec,.029411765,.88235295,.088235296,.088235296,.91176468
2014,Meeker,.039215688,.82352942,.13725491,.15686275,.84313726
2014,Itasca,.05319149,.77659577,.17021276,.27659574,.72340423
2014,Aitkin,.05882353,.85294116,.088235296,.14705883,.85294116
2014,Pennington,.028985508,.942029,.028985508,.028985508,.9710145
2014,Renville,.037037037,.87037039,.09259259,.09259259,.9074074
2014,Clearwater,0,.84615386,.15384616,.26923078,.73076922
2014,Carlton,.092105262,.78947371,.11842106,.18421052,.81578946
2014,Redwood,0,.95454544,.045454547,.045454547,.95454544
2014,Cottonwood,.024390243,.87804878,.097560972,.097560972,.902439
2014,Marshall,.029411765,.85294116,.11764706,.11764706,.88235295
2014,Murray,.03846154,.92307693,.03846154,.03846154,.96153843
2014,Koochiching,0,.89285713,.10714286,.10714286,.89285713
2014,Stevens,.023809524,.9285714,.047619049,.047619049,.95238096
2014,Hubbard,.033333335,.94999999,.016666668,.1,.89999998
2014,Big Stone,0,.89473683,.10526316,.10526316,.89473683
2014,Cook,.07692308,.84615386,.07692308,.07692308,.92307693
2014,Norman,.095238097,.85714287,.047619049,.095238097,.90476191
2014,Mahnomen,.045454547,.59090906,.36363637,.59090906,.40909091
2014,Grant,0,.78947371,.21052632,.21052632,.78947371
2014,Lac qui Parle,.047619049,.80952382,.14285715,.14285715,.85714287
2014,Watonwan,.10714286,.78571427,.10714286,.14285715,.85714287
2014,Lake of the Woods,0,.8888889,.11111111,.11111111,.8888889
2014,Anoka,.10584958,.8551532,.038997214,.090529248,.90947074
2014,Hennepin,.25565913,.69507325,.049267642,.14314248,.85685754
2014,Scott,.052391801,.92938495,.018223235,.034168564,.96583146
2014,Ramsey,.19694868,.76421636,.038834952,.1442441,.85575587
2014,Wright,.036764707,.91176468,.051470589,.05882353,.94117647
2014,Sherburne,.054744527,.91605842,.02919708,.032846715,.96715331
2014,Washington,.1,.86199999,.037999999,.079999998,.92000002
2014,Dakota,.11882353,.85647058,.024705883,.079999998,.92000002
2014,Isanti,.13725491,.78431374,.078431375,.15686275,.84313726
2014,Chisago,.057377048,.88524592,.057377048,.073770493,.92622954
2014,Carver,.115,.83999997,.045000002,.079999998,.92000002
2015,Freeborn,.039473683,.92105263,.039473683,.052631579,.94736844
2015,Washington,.10590632,.84928715,.044806518,.097759672,.90224034
2015,Kandiyohi,.03846154,.89999998,.061538462,.13846155,.86153847
2015,Olmsted,.072614111,.89211619,.035269711,.10373444,.89626557
2015,Winona,.055172414,.90344828,.04137931,.068965517,.93103451
2015,Ramsey,.22381635,.72596842,.050215207,.17503586,.82496411
2015,Wadena,.046511628,.81395346,.13953489,.18604651,.81395346
2015,Dakota,.12392638,.84662575,.029447854,.092024542,.90797544
2015,Anoka,.11271676,.84393066,.0433526,.12138728,.8786127
2015,Polk,.050420169,.86554623,.084033616,.12605043,.87394959
2015,Wabasha,.028169014,.91549295,.056338027,.11267605,.88732392
2015,Todd,.018518519,.81481481,.16666667,.2037037,.7962963
2015,Nobles,.039999999,.83999997,.12,.14,.86000001
2015,Hennepin,.27223355,.66870332,.059063137,.16904277,.83095723
2015,Pennington,.029850746,.9402985,.029850746,.029850746,.97014928
2015,Lyon,.046153847,.88461536,.069230773,.07692308,.92307693
2015,Mower,.02020202,.90909094,.070707068,.070707068,.92929292
2015,Scott,.052752294,.92889911,.018348623,.052752294,.94724768
2015,Renville,.05882353,.86274511,.078431375,.078431375,.92156863
2015,Dodge,.023529412,.94117647,.035294119,.035294119,.96470588
2015,Stearns,.055776894,.90438247,.039840639,.083665341,.91633469
2015,Sibley,0,.87931037,.12068965,.12068965,.87931037
