year,adj_supply_any,totcost_any,quality_premium,county,share_hr,access_index
2018,.58501196,194.46495,1.5205282,Anoka,.25211447,-.087400898
2018,.46369332,231.00949,1.5698743,Anoka,.40977848,-.10953871
2018,.9637984,225.19821,1.3517351,Anoka,.53283989,.58278191
2018,.81963384,225.30812,1.4326378,Anoka,.45695263,.32454723
2018,.43049872,249.09511,1.4865894,Anoka,.48069686,-.10706121
2018,.41094443,233.14456,1.1711031,Anoka,.27508897,-.38750532
2018,.39437774,249.79582,1.4834276,Anoka,.4767392,-.15031636
2018,.39760438,258.58698,1.4524194,Anoka,.47262233,-.19387214
2018,.77726722,257.85257,1.3503125,Anoka,.42191342,.080511481
2018,.48200446,248.73938,1.4795657,Anoka,.48091975,-.057120215
2018,.38683972,243.39401,1.4836481,Anoka,.48919788,-.10803607
2018,.46699968,174.9305,1.3093446,Anoka,.46990883,.24566211
2018,.67944765,228.58243,1.3396934,Anoka,.59672254,.40657964
2018,.61914706,205.45317,1.4118254,Anoka,.31045812,-.010501225
2018,.000059518658,262.76859,.68850207,Anoka,5.9513717e-13,-1.3520874
2018,.57430834,173.10924,1.9302161,Anoka,.038513284,-.34810048
2018,.56016988,228.31776,1.5514542,Anoka,.4060137,-.01361457
2018,1.2129041,142.09636,.98676789,Anoka,.23639275,.70920467
2018,.41582084,236.89034,1.4489841,Anoka,.45661426,-.10457641
2018,.43445346,243.71364,1.5902942,Anoka,.51961011,-.015658652
2018,.5631206,200.55917,.87907022,Anoka,1.9163982e-28,-.54565328
2018,.39722702,287.43893,1.3707671,Anoka,.52617288,-.23791151
2018,.56842142,250.65112,1.2150612,Anoka,.3024666,-.27568513
2018,.54963046,236.74005,1.5389044,Anoka,.51141644,.10988923
2018,.72130197,239.09042,.70161301,Anoka,.027158473,-.52886617
2018,.55012578,225.68015,1.3793485,Anoka,.30938318,-.16824259
2018,.2832143,240.65541,1.2546892,Anoka,.13932714,-.76141942
2018,.49591571,245.65504,1.5054065,Anoka,.49319169,-.010211371
2018,.40764093,251.86591,1.5705703,Anoka,.50983346,-.093501307
2018,.56828344,193.60147,1.4632884,Anoka,.34161484,.046567921
2018,1.8370451e-07,164.49315,1.1013823,Anoka,.73118567,.28323084
2018,.36227021,242.14717,1.4407972,Anoka,.48606199,-.13036576
2018,.34863836,174.2708,1.8158127,Anoka,.0098990453,-.61008537
2018,.46008554,189.90714,1.3803928,Anoka,.32739893,-.06057309
2018,.57892591,268.88199,1.3861172,Anoka,.48908296,-.044910859
2018,.540362,237.76947,1.2421796,Anoka,.27620023,-.28614622
2018,.98996264,214.83638,1.2476177,Anoka,.59793013,.76004422
2018,.61394238,194.02927,1.7782556,Anoka,.16595139,-.19868542
2018,.43498078,239.84268,1.4955848,Anoka,.52189469,.0061019412
2018,.40682739,241.62785,1.4532888,Anoka,.50040758,-.06317392
2018,.4112258,241.54953,1.4534107,Anoka,.50114441,-.057523757
2018,.57110459,228.63773,1.5658733,Anoka,.51768136,.17681979
2018,.50308275,224.01721,1.5247954,Anoka,.41526634,-.032222003
2018,.49392796,168.17107,1.3597492,Anoka,.44034407,.25328189
2018,.71273893,202.86574,1.481558,Anoka,.34343228,.14204405
2018,.7322526,232.38443,1.4475559,Anoka,.052687865,-.4467206
2018,.43599185,237.12794,1.5196267,Anoka,.51906794,.014753357
2018,.4100295,238.28618,1.5159293,Anoka,.51889241,-.014961799
2018,.50600934,185.61128,1.4674207,Anoka,.50692791,.2937966
2018,.53000319,292.819,1.3074805,Anoka,.45772642,-.25003093
2018,.42264667,239.26572,1.5033512,Anoka,.52199149,-.0026107233
2018,.53906941,276.88672,1.3891087,Anoka,.52478242,-.060234606
2018,.48736918,228.85423,1.5557541,Anoka,.45379922,-.0060885199
2018,.36101669,190.86145,1.602452,Anoka,.56827408,.23478511
2018,.83780587,231.27751,1.4472727,Anoka,.57420158,.50518686
2018,.22560558,218.47264,1.7934451,Anoka,.56863511,-.015928328
2018,.47022554,257.13556,1.4018915,Anoka,.45552745,-.1474779
2018,.47541517,174.02052,1.3298851,Anoka,.44428658,.21593353
2018,.47834438,190.66479,1.494366,Anoka,.34499335,-.0183757
2018,.5539844,224.42188,1.4135655,Anoka,.49579188,.14437452
2018,.29887933,223.57787,1.6985393,Anoka,.55352807,.004578352
2018,.21932366,213.35309,1.3386858,Anoka,.35288131,-.34963253
2018,.75919443,199.09639,1.3968644,Anoka,.51569474,.4826977
2018,.52506286,244.34081,1.2336615,Anoka,.46499336,-.022991985
2018,.25144091,188.13959,1.015837,Anoka,3.1465097e-10,-.77959442
2018,.687172,186.21468,.89544433,Anoka,.0083559435,-.35149002
2018,.054233436,63.16642,1.5156564,Anoka,.68933874,.72509092
2018,.76934415,203.96001,1.6085654,Anoka,.23915541,.020120574
2018,.60676867,272.43216,1.2869474,Anoka,.39133161,-.19413745
2018,.51905078,229.48833,1.5758851,Anoka,.53503877,.1527306
2018,.36573762,245.41742,1.3532962,Anoka,.45929658,-.18551683
2018,.35509762,201.90869,1.3679937,Anoka,.2107548,-.40256277
2018,.33674017,227.56581,1.6087406,Anoka,.5564149,.026451528
2018,.53722548,293.45322,1.3104029,Anoka,.46433109,-.23543391
2018,.68457466,231.6378,1.3556854,Anoka,.59614605,.39656216
2018,.41883725,212.53076,1.3796482,Anoka,.33509535,-.18904522
2018,.39792907,228.55925,1.5916954,Anoka,.54306513,.057207525
2018,.50758672,251.58536,1.4183544,Anoka,.46368355,-.074247189
2018,.40432906,248.67165,1.4357846,Anoka,.46029818,-.16270399
2018,.29137391,241.40726,1.2539605,Anoka,.15841629,-.72616851
2018,.43567696,225.46645,1.5942118,Anoka,.51854789,.066490747
2018,.55965817,261.90021,1.4142314,Anoka,.48321703,-.040741481
2018,.50157207,196.00781,1.4228357,Anoka,.17422894,-.298834
2018,.19855234,230.59349,1.2878996,Anoka,.063392818,-.91819596
