year,mnsendist,s_mnsendist_N_below_supply,s_mnsendist_N_above_cost,s_mnsendist_N_below_quality
2018,39,.53932583,.36516854,.52387643
2015,39,.53932583,.72893256,.50842696
2016,39,.53230339,.65589887,.51825845
2014,39,.52106744,.66151685,.52668542
2013,39,.56882024,.74859548,.51264048
2012,39,.52528089,.75983149,
2017,39,.55758429,.68258429,.50421351
2017,40,.94099849,.91679275,.43040848
2014,40,.95915282,.99621785,.19667171
2018,40,.90015131,.89107412,.65128595
2013,40,.98108923,1,.30332828
2012,40,.98562783,1,
2015,40,.91527987,.99621785,.45688352
2016,40,.93494707,.87745839,.54614222
2013,41,.88524592,.86595953,.50337511
2018,41,.94985533,1,.5323047
2017,41,.8813886,.9431051,.56605595
2016,41,.92092574,1,.63934427
2012,41,.87174541,.94503373,
2015,41,.90260369,.98457086,.46962392
2014,41,.91321117,.87174541,.53809065
2014,42,.71459693,.99128538,.71350765
2015,42,.64488018,.99346405,.7069717
2013,42,.69281048,1,.64596951
2018,42,.7962963,.99019605,.5762527
2017,42,.68518519,.99128538,.60893244
2012,42,.56971675,1,
2016,42,.72984749,.996732,.73202616
2016,43,.78035903,.9503696,.59239703
2017,43,.78775078,.91974658,.3252376
2018,43,.80570221,.92080253,.40232313
2013,43,.70855331,.99894404,.48996833
2015,43,.74656808,.98732841,.63463569
2014,43,.69060189,.99366421,.42766631
2012,43,.5871172,.99894404,
2017,44,.26643598,1,.76239908
2018,44,.24336794,.9930796,.74394464
2014,44,.46020761,1,.78892732
2015,44,.4509804,1,.71049595
2012,44,.4521338,1,
2016,44,.27335641,1,.76009226
2013,44,.46366781,1,.77854669
2013,45,.84451902,1,.18903804
2016,45,.78076065,1,.4116331
2017,45,.78970915,1,.38814318
2014,45,.75279641,1,.20134228
2015,45,.79865772,1,.29418343
2012,45,.78859061,1,
2018,45,.84451902,.95749438,.36353469
2016,46,.26304108,1,.62930077
2015,46,.4617092,1,.6226415
2018,46,.16870144,1,.83351833
2017,46,.1809101,1,.86570477
2013,46,.61820197,1,.63152051
2012,46,.70810211,1,
2014,46,.55604881,1,.61043286
2012,47,.59562397,.7852512,
2018,47,.59157211,.76499188,.35656402
2015,47,.56564021,.77876824,.35494328
2013,47,.59805512,.75445706,.28525123
2017,47,.52593195,.78687197,.38735819
2014,47,.59805512,.74230146,.22690438
2016,47,.56888169,.77633709,.37196112
2017,48,.31442079,.99881798,.69503546
2018,48,.29078013,.99881798,.71513003
2015,48,.45153666,.99881798,.75295508
2016,48,.35342789,.99881798,.7434988
2013,48,.50945628,1,.77541369
2014,48,.43735224,1,.78132385
2012,48,.57446808,.99881798,
2013,49,.76396805,1,.86316991
2014,49,.61003423,1,.79361457
2015,49,.51197261,1,.85974914
2012,49,.70809579,1,
2018,49,.46522236,1,.88027364
2016,49,.51539338,1,.87115163
2017,49,.44583809,1,.87799317
2017,50,.43052632,1,.58421052
2018,50,.59684211,1,.58736843
2012,50,.72736841,1,
2013,50,.7263158,1,.58947366
2015,50,.58105266,1,.61894739
2016,50,.53157896,1,.62105262
2014,50,.55578947,1,.62631577
2016,51,.32028836,1,.76004118
2018,51,.25643668,1,.89907312
2012,51,.1791967,1,
2015,51,.26673532,1,.70545828
2013,51,.23892894,1,.81977344
2017,51,.29763129,1,.82183313
2014,51,.28424305,1,.79196703
2012,52,.64988559,.99084669,
2015,52,.7540046,.98512584,.5720824
2013,52,.81121284,.99771166,.47482836
2017,52,.54118991,.43478259,.74027461
2014,52,.73569793,.895881,.58924484
2018,52,.87757438,.83752859,.38215104
2016,52,.66704804,.67162472,.70022881
2015,53,.58860195,.99554765,.56455922
2012,53,.58325911,.99376673,
