year,ED_region,county,Price,Capacity,ShareCCC,ShareFCC,SharePublic,ShareHighRated,ShareLowRated,t_underSA_cap,t_underSA_cap_pCCC,t_underSA_cap_FCC,t_underSA_cap_public,t_underSA_cap_HR,t_underSA_cap_pq12,region
2012,Headwaters,Hubbard,102.82137,11.563049,.039215688,.94117647,.019607844,0,0,589.71552,71.844063,447.87143,70,0,0,Greater MN
2012,Arrowhead,Koochiching,100.1591,10.423188,0,.95652175,.043478262,0,0,239.73334,0,203.73334,36,0,0,Greater MN
2012,Westcentral,Pope,93.014267,11.986246,.0625,.875,.0625,0,0,383.55988,78.650345,252.90953,52,0,0,Greater MN
2012,Southwest,Pipestone,94.835617,10.767114,.029411765,.94117647,.029411765,0,0,355.31476,40.081425,295.23334,20,0,0,Greater MN
2012,UpperMNvalley,Yellow Medicine,87.429016,10.561747,.02,.89999998,.079999998,0,0,528.08734,31.006386,427.08096,70,0,0,Greater MN
2012,Southcentral,Waseca,100.20669,10.35356,.026666667,.95999998,.013333334,0,0,776.51709,90.750397,668.76666,17,0,0,Greater MN
2012,UpperMNvalley,Lac qui Parle,82.767487,10.450793,0,.90476191,.095238097,0,0,219.46667,0,182.46667,37,0,0,Greater MN
2012,Westcentral,Grant,86.377098,10.080714,0,.85000002,.15000001,0,0,201.61429,0,157.61429,44,0,0,Greater MN
2012,EastCentral,Pine,115.87574,10.235238,.018181818,.96363634,.018181818,0,0,562.93811,34,503.93811,25,0,0,Greater MN
2012,EastCentral,Isanti,128.88783,16.960253,.15217391,.84782606,0,0,0,780.17163,429.66684,350.50476,0,0,0,MSA
2012,Northwest,Marshall,87.968719,10.708339,.03125,.875,.09375,0,0,342.66684,36.300159,258.36667,48,0,0,Greater MN
2012,EastCentral,Kanabec,102.23235,22.388397,.029411765,.94117647,.029411765,0,0,761.20551,31.762638,316.44287,413,0,0,Greater MN
2012,UpperMNvalley,Big Stone,82.484596,9.7754383,0,.89473683,.10526316,0,0,185.73334,0,152.73334,33,0,0,Greater MN
2012,Southwest,Lincoln,91.592422,9.7746029,0,1,0,0,0,205.26666,0,205.26666,0,0,0,Greater MN
2012,UpperMNvalley,Swift,86.883018,10.66626,.025641026,.8974359,.07692308,0,0,415.98413,49.912716,331.07144,35,0,0,Greater MN
2012,Headwaters,Lake of the Woods,84.10247,9.9129868,0,.90909094,.090909094,0,0,109.04285,0,85.042854,24,0,0,Greater MN
2012,Headwaters,Mahnomen,81.079269,14.916918,.05882353,.7647059,.17647059,0,0,253.5876,22.687599,117.9,113,0,0,Greater MN
2012,Southwest,Jackson,91.041313,12.036415,.052631579,.92105263,.02631579,0,0,457.38379,102.85045,329.53333,25,0,0,Greater MN
2012,Arrowhead,Aitkin,108.79449,12.639074,.041666668,.91666669,.041666668,0,0,303.33777,65.037781,213.3,25,0,0,Greater MN
2012,Southcentral,Faribault,83.245628,13.686427,.068965517,.82758623,.10344828,0,0,396.90637,94.006386,240.89999,62,0,0,Greater MN
2012,Northwest,Kittson,79.464073,9.6611109,0,.83333331,.16666667,0,0,173.89999,0,137.89999,36,0,0,Greater MN
2012,Southwest,Rock,93.308327,9.8956518,0,1,0,0,0,455.20001,0,455.20001,0,0,0,Greater MN
2012,Arrowhead,Lake,105.48579,9.9314356,.06666667,.86666667,.06666667,0,0,148.97153,24.200106,115.77143,9,0,0,Greater MN
2012,Westcentral,Traverse,79.766891,10.269231,0,.84615386,.15384616,0,0,133.5,0,101.5,32,0,0,Greater MN
2013,Headwaters,Mahnomen,87.133392,14.682645,.055555556,.77777779,.16666667,.44444445,.55555558,264.2876,22.687599,128.60001,113,172.98759,91.300003,Greater MN
2013,Arrowhead,Saint Louis,117.22948,15.884048,.095628418,.85792351,.046448089,.062841527,.93715847,5813.5615,1727.4996,3016.062,1070,1274.0564,4539.5054,Greater MN
2013,Southern,Olmsted,142.77589,14.440672,.050724637,.92753625,.021739131,.056159422,.94384056,7971.251,2264.5764,4723.6748,983,2090.8599,5880.3911,Greater MN
2013,Southcentral,Blue Earth,118.2947,15.830772,.07,.91500002,.015,.025,.97500002,3166.1543,803.98297,1754.1714,608,626,2540.1543,Greater MN
2013,Southwest,Lyon,106.76361,12.345229,.039370079,.94488192,.015748031,.015748031,.98425198,1567.8441,278.30121,1199.5428,90,90,1477.8441,Greater MN
2013,Arrowhead,Carlton,116.42947,14.752564,.078947365,.90789473,.013157895,.039473683,.96052629,1121.1949,254.67589,639.51904,227,298.0878,823.10712,Greater MN
2013,Southern,Rice,128.59856,11.720927,.041916169,.9461078,.011976048,.017964073,.98203593,1957.3949,446.21393,1417.1809,94,151,1806.3949,Greater MN
2013,Westcentral,Clay,115.68633,13.135012,.048309177,.93719804,.014492754,.019323671,.98067635,2718.9473,679.59021,1799.3572,240,308.81906,2410.1282,Greater MN
2013,Central,Stearns,112.48122,12.19992,.045787547,.94688642,.0073260074,.018315019,.98168498,6661.1563,1536.4049,4932.7515,192,548.81372,6112.3428,Greater MN
2013,Southeast,Freeborn,104.13168,12.137376,.026666667,.95999998,.013333334,.013333334,.98666668,910.30322,166.73177,649.57141,94,94,816.30322,Greater MN
2013,NorthCentral,Crow Wing,118.74752,12.898005,.079268292,.902439,.018292682,.018292682,.98170733,2115.2729,589.33954,1369.9333,156,156,1959.2728,Greater MN
2013,Southcentral,Martin,98.989006,10.922544,.014285714,.98571426,0,0,1,764.578,79.406593,685.17145,0,0,764.578,Greater MN
2013,Arrowhead,Itasca,101.03312,14.628222,.044943821,.83146065,.12359551,.15730338,.84269661,1301.9119,159.48802,705.42383,437,509.93774,791.97412,Greater MN
2013,Southwestcentral,McLeod,109.51749,12.528792,.030303031,.93181819,.037878789,.037878789,.96212119,1653.8007,206.20064,1204.6,243,243,1410.8007,Greater MN
2013,Southcentral,Brown,101.64975,11.80135,.034782607,.95652175,.0086956518,.017391304,.98260868,1357.1553,236.85045,1110.3048,10,24,1333.1553,Greater MN
2013,Southern,Wabasha,119.50908,10.657622,.027027028,.95945948,.013513514,.013513514,.98648649,788.66406,83.187866,685.4762,20,20,768.66406,Greater MN
2013,Southwest,Cottonwood,98.304054,10.459352,.024390243,.92682928,.048780486,.048780486,.9512195,428.83344,24.200106,366.63333,38,38,390.83344,Greater MN
2013,Northwest,Roseau,90.210159,10.010959,0,.94520545,.05479452,.05479452,.94520545,730.79999,0,634.79999,96,96,634.79999,Greater MN
2013,Southwestcentral,Renville,100.93497,32.451687,.01923077,.94230771,.03846154,.03846154,.96153843,1687.4877,46.887703,480.60001,1160,1160,527.48773,Greater MN
2013,Arrowhead,Koochiching,106.75012,10.236905,0,.96428573,.035714287,.035714287,.96428573,286.63333,0,241.63333,45,45,241.63333,Greater MN
2013,Westcentral,Otter Tail,106.70286,10.450422,.024691358,.95679015,.018518519,.018518519,.98148149,1692.9684,138.73177,1436.2367,118,118,1574.9684,Greater MN
2013,Southeast,Fillmore,101.64257,18.480011,.05172414,.89655173,.05172414,.05172414,.94827586,1071.8406,179.06918,505.77142,387,387,684.84064,Greater MN
2013,Westcentral,Douglas,105.4902,12.599814,.025316456,.94303799,.03164557,.03164557,.9683544,1990.7708,261.87546,1478.8953,250,250,1740.7708,Greater MN
2013,Southern,Mower,111.34699,11.234124,.039999999,.94,.02,.02,.98000002,1123.4124,252.76956,844.64288,26,26,1097.4124,Greater MN
2013,NorthCentral,Todd,87.71656,11.063117,0,.90909094,.090909094,.090909094,.90909094,608.47144,0,492.47144,116,116,492.47144,Greater MN
2013,NorthCentral,Cass,98.190979,20.299929,.033898305,.83050847,.13559322,.15254237,.84745765,1197.6958,64.281525,466.41428,667,677,520.6958,Greater MN
2013,UpperMNvalley,Swift,89.247231,11.492104,.025,.89999998,.075000003,.1,.89999998,459.68414,49.912716,351.77142,58,107.91272,351.77142,Greater MN
