year,t_bg_N_c_u5,t_bg_N_fam_c_u5,county,share_hr,adj_supply_any,adj_supply_ccc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,access_index,state_adj_supply_any,state_adj_supply_ccc,state_adj_supply_hr,state_adj_supply_public,state_totcost_any,state_totcost_ccc,state_totcost_hr,state_totcost_public,state_quality_premium,state_access_index,state_share_hr,msa_adj_supply_any,msa_adj_supply_ccc,msa_adj_supply_hr,msa_adj_supply_public,msa_totcost_any,msa_totcost_ccc,msa_totcost_hr,msa_totcost_public,msa_quality_premium,msa_access_index,msa_share_hr,rural_adj_supply_any,rural_adj_supply_ccc,rural_adj_supply_hr,rural_adj_supply_public,rural_totcost_any,rural_totcost_ccc,rural_totcost_hr,rural_totcost_public,rural_quality_premium,rural_access_index,rural_share_hr,st_med_adj_supply_any,st_med_adj_supply_ccc,st_med_adj_supply_hr,st_med_adj_supply_public,st_med_totcost_any,st_med_totcost_ccc,st_med_totcost_hr,st_med_totcost_public,st_med_quality_premium,st_med_access_index,st_med_share_hr,N_county,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_hr,rank_adj_supply_public,rank_share_hr,rank_access_index,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium
2018,2630,2129,Becker,.24668647,.53452891,.034399264,.13823685,.13866618,112.02175,225.55208,163.08945,17.97163,1.258368,.47464225,.52262598,.2458825,.13033116,.062300872,197.41147,266.34604,262.4071,10.180117,1.2756855,-.025971804,.2455937,,,,,,,,,,,,.55946279,.13497612,.084333129,.10179724,127.02396,206.62012,175.25334,12.716738,1.1995565,.18644635,.14950036,.48326793,.21080883,.11658644,.03095335,204.42227,284.43594,291.12512,7.6084881,1.2703981,-.063315108,.25454924,87,42,65,12,25,12,6,43,62,45,68,54
2012,3547,2230,Beltrami,,.6230216,.06424699,,.21000685,92.820969,240.04733,,78.102524,,.82348704,.5348947,.19158287,,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,,,,,,,,,,,,,.61584675,.11383594,,.075171843,114.67954,244.49701,,60.074459,,.60050148,,.49562806,.16701594,,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,,87,36,57,,6,,23,12,44,,60,
2013,3547,2230,Beltrami,0,.63834822,.07567212,0,.20764814,100.83675,171.173,249.91817,29.439751,1.9976624,.29149234,.5584662,.2060665,.071046881,.041695278,170.82504,220.14426,246.10498,16.989559,1.5036138,.0012053046,.13281661,,,,,,,,,,,,.65383154,.11700851,.023433577,.086170882,118.26678,171.81586,199.8241,20.442402,1.5990849,.18068115,.031784508,.5121603,.1799643,.044105411,.0018471254,174.93257,238.03322,265.6413,12.412881,1.4365072,-.032307398,.1087542,87,40,53,70.5,6,70.5,25,22,52,62,69,62
2014,3547,2230,Beltrami,.033358213,.61563766,.12844019,.042230301,.12098314,98.331818,193.54745,200.65683,17.098516,1.619625,.23381065,.58581603,.23326772,.093135968,.056037318,169.09805,223.2364,237.77991,10.806197,1.4223517,.0020772035,.15582444,,,,,,,,,,,,.67612052,.14201587,.051425532,.1027807,114.65122,175.44817,185.02052,13.178819,1.4718029,.21532698,.061591212,.54117668,.20257875,.065413721,.021956054,173.32027,240.6362,254.02663,8.0444069,1.3888881,-.047465313,.1375131,87,47,38,35,28,42,40,29,60,46,64,55
2015,3547,2230,Beltrami,.0081956815,.55329394,.068428077,.0032984321,.14490744,93.387688,178.21933,158.56265,16.589237,1.2729149,.17453553,.5579595,.22679776,.099622801,.05749809,172.20628,229.06659,234.30888,10.534803,1.3604409,.002564329,.17892995,,,,,,,,,,,,.64009982,.13522397,.053960562,.10026496,116.03575,178.34892,170.97406,12.816929,1.3395381,.22015743,.078600131,.51399022,.20070736,.07495261,.026161147,178.49532,248.6633,253.5575,7.9022145,1.3498224,-.034083158,.16881365,87,53,58,57,17,57,53,21,48,38,65,34
2016,3547,2230,Beltrami,.020378076,.51961637,.045095861,.016501984,.14294441,90.400139,168.60765,146.36603,24.292927,1.1111965,.19314528,.54536021,.23544866,.11996042,.061169744,180.23764,249.16425,248.77882,13.291072,1.3652824,-.020886343,.21625373,,,,,,,,,,,,.59937966,.13340059,.076991923,.096143164,124.29613,211.71506,193.60371,20.678654,1.4621577,.19057089,.12273604,.51103741,.20528212,.10215108,.032526162,180.67175,262.80194,265.64154,7.4830885,1.2960076,-.039769154,.22033915,87,56,65,67,24,67,47,11,13,16,57,15
2017,3547,2230,Beltrami,.080159985,.51907462,.049938131,.026119111,.16155052,90.113396,332.47626,241.63289,29.962656,1.5741096,.16746832,.54869336,.25461191,.13730223,.070539512,177.0968,266.64069,242.41585,16.556353,1.3080291,-.018083453,.24132439,,,,,,,,,,,,.58497655,.14603442,.098039187,.10717747,119.19171,261.72543,185.56627,29.051991,1.3513918,.19906473,.1612135,.51884514,.22063032,.11980285,.037836995,176.18246,264.85056,261.42206,7.5126877,1.2527828,-.050442807,.25949246,87,51,62,67,18,61,45,17,64,69,51,67
2018,3547,2230,Beltrami,.1010767,.46513167,.051343165,.038828366,.098541796,104.27106,208.00417,139.01295,18.064039,1.0051606,.13389395,.52262598,.2458825,.13033116,.062300872,197.41147,266.34604,262.4071,10.180117,1.2756855,-.025971804,.2455937,,,,,,,,,,,,.55946279,.13497612,.084333129,.10179724,127.02396,206.62012,175.25334,12.716738,1.1995565,.18644635,.14950036,.48326793,.21080883,.11658644,.03095335,204.42227,284.43594,291.12512,7.6084881,1.2703981,-.063315108,.25454924,87,64,59,62,39,48,49,31,45,20,69,15
2012,3652,3135,Benton,,.61543185,.11675816,,.0090310639,129.86037,206.66479,,40.703285,,.45178464,.5348947,.19158287,,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,,,,,,,,,,,,,.61584675,.11383594,,.075171843,114.67954,244.49701,,60.074459,,.60050148,,.49562806,.16701594,,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,,87,38,29,,77,,65,73,26,,30,
2013,3652,3135,Benton,.034068007,.66435719,.12538692,.024547659,.015632132,132.04605,197.30544,239.76779,18.910778,1.82947,.090083748,.5584662,.2060665,.071046881,.041695278,170.82504,220.14426,246.10498,16.989559,1.5036138,.0012053046,.13281661,,,,,,,,,,,,.65383154,.11700851,.023433577,.086170882,118.26678,171.81586,199.8241,20.442402,1.5990849,.18068115,.031784508,.5121603,.1799643,.044105411,.0018471254,174.93257,238.03322,265.6413,12.412881,1.4365072,-.032307398,.1087542,87,35,30,25,67,25,61,71,63,59,43,57
2014,3652,3135,Benton,.040713813,.70265412,.14158411,.030293329,.041234754,129.43433,200.7744,228.713,13.033881,1.7235198,.085094526,.58581603,.23326772,.093135968,.056037318,169.09805,223.2364,237.77991,10.806197,1.4223517,.0020772035,.15582444,,,,,,,,,,,,.67612052,.14201587,.051425532,.1027807,114.65122,175.44817,185.02052,13.178819,1.4718029,.21532698,.061591212,.54117668,.20257875,.065413721,.021956054,173.32027,240.6362,254.02663,8.0444069,1.3888881,-.047465313,.1375131,87,37,33,42,71,39,64,73,62,64,41,61
2015,3652,3135,Benton,.076597452,.64282387,.13517666,.053770822,.040792417,128.07301,199.38863,199.56435,13.006777,1.5264118,.12921323,.5579595,.22679776,.099622801,.05749809,172.20628,229.06659,234.30888,10.534803,1.3604409,.002564329,.17892995,,,,,,,,,,,,.64009982,.13522397,.053960562,.10026496,116.03575,178.34892,170.97406,12.816929,1.3395381,.22015743,.078600131,.51399022,.20070736,.07495261,.026161147,178.49532,248.6633,253.5575,7.9022145,1.3498224,-.034083158,.16881365,87,41,31,28,73,28,60,71,64,60,42,64
2016,3652,3135,Benton,.098366797,.65968817,.18066531,.064136177,.032050341,142.78761,204.7753,192.21242,16.540901,1.3323442,.08504346,.54536021,.23544866,.11996042,.061169744,180.23764,249.16425,248.77882,13.291072,1.3652824,-.020886343,.21625373,,,,,,,,,,,,.59937966,.13340059,.076991923,.096143164,124.29613,211.71506,193.60371,20.678654,1.4621577,.19057089,.12273604,.51103741,.20528212,.10215108,.032526162,180.67175,262.80194,265.64154,7.4830885,1.2960076,-.039769154,.22033915,87,33,16,36,82,40,60,74,46,51,39,44
2017,3652,3135,Benton,.13616093,.61748356,.18046476,.085431509,.028891254,143.85805,216.37959,206.12177,22.198845,1.4543948,.051755782,.54869336,.25461191,.13730223,.070539512,177.0968,266.64069,242.41585,16.556353,1.3080291,-.018083453,.24132439,,,,,,,,,,,,.58497655,.14603442,.098039187,.10717747,119.19171,261.72543,185.56627,29.051991,1.3513918,.19906473,.1612135,.51884514,.22063032,.11980285,.037836995,176.18246,264.85056,261.42206,7.5126877,1.2527828,-.050442807,.25949246,87,34,24,37,82,42,60,76,25,61,39,61
