year,mnlegdist,s_mnlegdist_N_below_supply,s_mnlegdist_N_above_cost,s_mnlegdist_N_below_quality
2016,25A,.38927335,.32352942,.14705883
2015,25A,.34083045,.34602076,.35986158
2018,25A,.27335641,.4515571,.29065743
2012,25A,.35294119,.27854672,
2014,25B,.021505376,.82437277,.99283153
2017,25B,.13978495,1,.97311831
2013,25B,.098566309,.86021507,.94802868
2016,25B,.13799283,.98387098,.98387098
2018,25B,.11648746,.98387098,.98566306
2015,25B,.055555556,.99820787,.98924732
2012,25B,.087813623,.91756272,
2013,26A,.14836223,.20809248,.78420037
2012,26A,.11175337,.13872832,
2017,26A,.24277456,.50481695,.7283237
2016,26A,.21387284,.34104046,.75529867
2015,26A,.15028901,.60308284,.82851636
2018,26A,.22350675,.35838151,.7090559
2014,26A,.16570328,.35067436,.81695569
2014,26B,.37830687,.16931216,.39417988
2017,26B,.3994709,.19312169,.53703701
2016,26B,.36772487,.1984127,.43915343
2013,26B,.34391534,.17989418,.37830687
2012,26B,.33862433,.2037037,
2018,26B,.35449734,.18518518,.57936507
2015,26B,.35978836,.20634921,.49470899
2015,27A,.48873875,.0022522523,.054054055
2014,27A,.47522524,0,.25
2017,27A,.6081081,0,.490991
2016,27A,.52702701,.0022522523,.074324325
2012,27A,.47297296,0,
2013,27A,.49324325,0,.18018018
2018,27A,.52252251,0,.50225228
2016,27B,.90062112,.018633541,.37681159
2013,27B,.75569355,0,0
2014,27B,.7453416,0,.041407868
2015,27B,.88819873,0,.041407868
2017,27B,.89855075,0,.20496894
2018,27B,.90683228,0,.4037267
2012,27B,.74741203,0,
2012,28A,.3754386,0,
2014,28A,.36842105,.003508772,.46666667
2016,28A,.40701753,.003508772,.40350878
2015,28A,.3859649,.003508772,.4877193
2013,28A,.37894738,0,.41052631
2017,28A,.44210526,.014035088,.40000001
2018,28A,.40701753,.010526316,.33333334
2014,28B,.34285715,0,.16904762
2017,28B,.39285713,.026190476,.36666667
2016,28B,.37142858,.097619049,.29285714
2018,28B,.40238094,0,.44047618
2013,28B,.33571428,0,.12619048
2012,28B,.33571428,.0047619049,
2015,28B,.40476191,0,.23333333
2014,29A,.61821365,.11383538,.13485114
2016,29A,.67075306,.026269702,.049036779
2012,29A,.71978986,.15586691,
2013,29A,.65849388,.26619965,.042031523
2017,29A,.67250437,.05078809,.047285464
2015,29A,.67075306,.019264448,.047285464
2018,29A,.66725045,.32224169,.036777582
2013,29B,.51636362,0,.050909091
2018,29B,.56727272,.07090909,.53454548
2015,29B,.5090909,.027272727,.42727274
2017,29B,.54363638,.0018181818,.37454545
2014,29B,.49636364,.038181819,.49636364
2016,29B,.48727274,.041818183,.57454544
2012,29B,.46727273,0,
2015,2A,.79333335,0,.20666666
2014,2A,.81777775,0,.17777778
2016,2A,.79111111,.0044444446,.17777778
2012,2A,.79777777,.013333334,
2017,2A,.81777775,.0022222223,.15111111
2013,2A,.79777777,0,.14222223
2018,2A,.80444443,0,.12222222
2016,2B,.62274367,.0036101083,.40794224
2012,2B,.67870039,0,
2017,2B,.64440435,.0090252711,.35920578
2015,2B,.63718414,0,.35740072
2018,2B,.67328519,0,.35559568
2013,2B,.67509025,0,.3429603
2014,2B,.58844763,0,.39350182
2015,30A,.43700159,.29665071,.084529504
2012,30A,.40988836,.35885167,
2014,30A,.42743221,.42902711,.092503987
2013,30A,.3875598,.23923445,.20255183
2017,30A,.53588516,.39872408,0
2018,30A,.52631581,.44338119,.0015948963
2016,30A,.44019139,.42743221,.0047846888
2014,30B,.69654292,.21638924,.1177977
2017,30B,.78104991,.26504481,.075544171
2018,30B,.78104991,.26632524,.09346991
2016,30B,.77080667,.22663252,.10755442
2015,30B,.8117798,.18822023,.11651728
2013,30B,.59923178,.29833546,.12419974
2012,30B,.58898848,.37516004,
2014,31A,.56991524,.38771185,.025423728
2012,31A,.53177965,.12288135,
2016,31A,.66101694,.16101696,.038135592
2013,31A,.57838982,.18432203,.016949153
2017,31A,.74788135,.37288135,.021186441
2018,31A,.64406782,.28389829,.036016949
2015,31A,.50423729,.3898305,.036016949
2012,31B,.66172838,.24444444,
2014,31B,.70123458,.37037036,.086419754
2016,31B,.77777779,.10864197,.0691358
2013,31B,.7037037,.28148147,.022222223
2015,31B,.75308645,.12592593,.1037037
2017,31B,.79259259,.25925925,.054320987
2018,31B,.7234568,.35061729,.061728396
2018,32A,.6885246,.018735362,.36065573
2013,32A,.70725995,.0070257611,.18032786
